# Aguilar et al., PRL 115, 211101 (2015)
# Quantity	<R> [GV]	Bin range	Flux (per R bin) [# (GV m2 s sr)-1]	Stat Err (±)	Syst Err (±)
He	2.03174	[1.92,2.15]	6.031000e+1	0.07	1.2
He	2.27156	[2.15,2.4]	5.657000e+1	0.06	0.98
He	2.5314	[2.4,2.67]	5.174000e+1	0.05	0.82
He	2.816	[2.67,2.97]	4.694000e+1	0.04	0.7
He	3.1259	[2.97,3.29]	4.176000e+1	0.04	0.61
He	3.46057	[3.29,3.64]	3.650000e+1	0.03	0.53
He	3.82528	[3.64,4.02]	3.145000e+1	0.03	0.45
He	4.22002	[4.02,4.43]	2.671000e+1	0.02	0.38
He	4.64955	[4.43,4.88]	2.250000e+1	0.02	0.32
He	5.11914	[4.88,5.37]	1.876000e+1	0.01	0.27
He	5.62876	[5.37,5.9]	1.555000e+1	0.01	0.22
He	6.17843	[5.9,6.47]	1.282000e+1	0.01	0.18
He	6.7729	[6.47,7.09]	1.054000e+1	0.01	0.15
He	7.41743	[7.09,7.76]	8.646000e+0	0.006	0.12
He	8.11201	[7.76,8.48]	7.081000e+0	0.005	0.098
He	8.86142	[8.48,9.26]	5.786000e+0	0.004	0.079
He	9.67088	[9.26,10.1]	4.740000e+0	0.004	0.065
He	10.5403	[10.1,11]	3.866000e+0	0.003	0.053
He	11.4891	[11,12]	3.138000e+0	0.003	0.043
He	12.4899	[12,13]	2.566000e+0	0.002	0.035
He	13.5388	[13,14.1]	2.100000e+0	0.002	0.029
He	14.6877	[14.1,15.3]	1.711000e+0	0.002	0.023
He	15.9367	[15.3,16.6]	1.395000e+0	0.001	0.019
He	17.2858	[16.6,18]	1.134000e+0	0.001	0.015
He	18.7349	[18,19.5]	9.241000e-1	0.001	0.0126
He	20.2842	[19.5,21.1]	7.485000e-1	0.0009	0.0102
He	21.9335	[21.1,22.8]	6.100000e-1	0.0007	0.0083
He	23.7309	[22.8,24.7]	4.963000e-1	0.0006	0.0068
He	25.6805	[24.7,26.7]	4.045000e-1	0.0005	0.0055
He	27.7301	[26.7,28.8]	3.295000e-1	0.0004	0.0045
He	29.9279	[28.8,31.1]	2.686000e-1	0.0004	0.0037
He	32.2777	[31.1,33.5]	2.194000e-1	0.0003	0.003
He	34.7757	[33.5,36.1]	1.797000e-1	0.0003	0.0025
He	37.4738	[36.1,38.9]	1.469000e-1	0.0002	0.002
He	40.3721	[38.9,41.9]	1.198000e-1	0.0002	0.0017
He	43.4705	[41.9,45.1]	9.824000e-2	0.00018	0.00136
He	46.7691	[45.1,48.5]	8.071000e-2	0.00016	0.00112
He	50.316	[48.5,52.2]	6.566000e-2	0.00014	0.00091
He	54.1148	[52.2,56.1]	5.415000e-2	0.00012	0.00076
He	58.1621	[56.1,60.3]	4.446000e-2	0.00011	0.00062
He	62.5095	[60.3,64.8]	3.642000e-2	0.00009	0.00051
He	67.2053	[64.8,69.7]	2.984000e-2	0.00008	0.00042
He	72.2532	[69.7,74.9]	2.456000e-2	0.00007	0.00034
He	77.6495	[74.9,80.5]	2.015000e-2	0.00006	0.00028
He	83.446	[80.5,86.5]	1.654000e-2	0.00005	0.00023
He	89.6911	[86.5,93]	1.357000e-2	0.00005	0.00019
He	96.4365	[93,100]	1.113000e-2	0.00004	0.00016
He	103.923	[100,108]	9.068000e-3	0.000034	0.000129
He	111.928	[108,116]	7.328000e-3	0.00003	0.000105
He	120.415	[116,125]	5.977000e-3	0.000026	0.000086
He	129.903	[125,135]	4.905000e-3	0.000022	0.000072
He	140.872	[135,147]	3.898000e-3	0.000018	0.000058
He	153.362	[147,160]	3.104000e-3	0.000015	0.000047
He	167.332	[160,175]	2.433000e-3	0.000013	0.000037
He	183.303	[175,192]	1.888000e-3	0.00001	0.00003
He	201.275	[192,211]	1.481000e-3	0.000009	0.000024
He	221.727	[211,233]	1.121000e-3	0.000007	0.000019
He	245.656	[233,259]	8.621000e-4	0.0000056	0.0000149
He	274.534	[259,291]	6.312000e-4	0.0000043	0.0000113
He	309.887	[291,330]	4.614000e-4	0.0000033	0.0000087
He	353.652	[330,379]	3.199000e-4	0.0000024	0.0000065
He	408.826	[379,441]	2.158000e-4	0.0000018	0.0000047
He	481.17	[441,525]	1.397000e-4	0.0000012	0.0000033
He	581.012	[525,643]	8.738000e-5	0.00000081	0.00000229
He	727.011	[643,822]	4.682000e-5	0.00000048	0.00000142
He	963.773	[822,1130]	2.288000e-5	0.00000025	0.00000085
He	1426.18	[1130,1800]	7.980000e-6	0.0000001	0.000000398
He	2323.79	[1800,3000]	2.147000e-6	0.000000038	0.000000159

