# Aguilar et al., PRL 114, 171103 (2015)
# Quantity	<R> [GV]	Bin range	Flux (per R bin) [# (GV m2 s sr)-1]	Stat Err	Syst Err
H	1.07634	[1,1.16]	6.269000e+2	0.8	26.8
H	1.24142	[1.16,1.33]	6.625000e+2	0.4	22.6
H	1.41648	[1.33,1.51]	6.432000e+2	0.4	17.7
H	1.60617	[1.51,1.71]	6.059000e+2	0.3	15.1
H	1.81125	[1.71,1.92]	5.544000e+2	0.2	12.6
H	2.03099	[1.92,2.15]	4.993000e+2	0.2	10.4
H	2.27076	[2.15,2.4]	4.420000e+2	0.2	8.5
H	2.53056	[2.4,2.67]	3.878000e+2	0.1	6.9
H	2.81508	[2.67,2.97]	3.359000e+2	0.1	5.6
H	3.12495	[2.97,3.29]	2.882000e+2	0.1	4.6
H	3.45955	[3.29,3.64]	2.453000e+2	0.1	3.7
H	3.82418	[3.64,4.02]	2.068000e+2	0.1	3
H	4.21886	[4.02,4.43]	1.731000e+2	0.1	2.5
H	4.64829	[4.43,4.88]	1.438000e+2	0	2
H	5.11777	[4.88,5.37]	1.184000e+2	0	1.6
H	5.62731	[5.37,5.9]	9.691000e+1	0.03	1.3
H	6.1769	[5.9,6.47]	7.903000e+1	0.02	1.04
H	6.77126	[6.47,7.09]	6.420000e+1	0.02	0.83
H	7.41568	[7.09,7.76]	5.197000e+1	0.02	0.67
H	8.11015	[7.76,8.48]	4.200000e+1	0.01	0.54
H	8.85942	[8.48,9.26]	3.386000e+1	0.01	0.43
H	9.66876	[9.26,10.1]	2.724000e+1	0.01	0.34
H	10.5382	[10.1,11]	2.190000e+1	0.01	0.28
H	11.4866	[11,12]	1.758000e+1	0.01	0.22
H	12.4877	[12,13]	1.417000e+1	0.01	0.18
H	13.5362	[13,14.1]	1.148000e+1	0	0.15
H	14.6849	[14.1,15.3]	9.266000e+0	0.004	0.118
H	15.9337	[15.3,16.6]	7.460000e+0	0.003	0.095
H	17.2825	[16.6,18]	5.995000e+0	0.003	0.077
H	18.7315	[18,19.5]	4.832000e+0	0.002	0.062
H	20.2806	[19.5,21.1]	3.894000e+0	0.002	0.05
H	21.9297	[21.1,22.8]	3.151000e+0	0.002	0.041
H	23.7266	[22.8,24.7]	2.538000e+0	0.001	0.033
H	25.676	[24.7,26.7]	2.040000e+0	0.001	0.026
H	27.7255	[26.7,28.8]	1.650000e+0	0.001	0.021
H	29.9228	[28.8,31.1]	1.335000e+0	0.001	0.017
H	32.2725	[31.1,33.5]	1.082000e+0	0.001	0.014
H	34.77	[33.5,36.1]	8.791000e-1	0.0006	0.0115
H	37.4678	[36.1,38.9]	7.132000e-1	0.0005	0.0093
H	40.3657	[38.9,41.9]	5.793000e-1	0.0005	0.0076
H	43.4637	[41.9,45.1]	4.716000e-1	0.0004	0.0062
H	46.7619	[45.1,48.5]	3.839000e-1	0.0004	0.0051
H	50.3081	[48.5,52.2]	3.128000e-1	0.0003	0.0042
H	54.1067	[52.2,56.1]	2.549000e-1	0.0003	0.0034
H	58.1533	[56.1,60.3]	2.080000e-1	0.0002	0.0028
H	62.5001	[60.3,64.8]	1.701000e-1	0.0002	0.0023
H	67.1949	[64.8,69.7]	1.393000e-1	0.0002	0.0019
H	72.2423	[69.7,74.9]	1.132000e-1	0.0002	0.0015
H	77.6378	[74.9,80.5]	9.263000e-2	0.00013	0.00127
H	83.4335	[80.5,86.5]	7.530000e-2	0.00012	0.00104
H	89.6774	[86.5,93]	6.146000e-2	0.0001	0.00085
H	96.4217	[93,100]	5.026000e-2	0.00009	0.0007
H	103.905	[100,108]	4.085000e-2	0.00007	0.00058
H	111.912	[108,116]	3.294000e-2	0.00007	0.00047
H	120.396	[116,125]	2.698000e-2	0.00006	0.00039
H	129.881	[125,135]	2.174000e-2	0.00005	0.00032
H	140.842	[135,147]	1.727000e-2	0.00004	0.00026
H	153.33	[147,160]	1.358000e-2	0.00003	0.00021
H	167.293	[160,175]	1.065000e-2	0.00003	0.00017
H	183.257	[175,192]	8.212000e-3	0.000023	0.000133
H	201.224	[192,211]	6.299000e-3	0.000019	0.000104
H	221.664	[211,233]	4.793000e-3	0.000015	0.000083
H	245.576	[233,259]	3.605000e-3	0.000012	0.000065
H	274.426	[259,291]	2.647000e-3	0.000009	0.000049
H	309.744	[291,330]	1.884000e-3	0.000007	0.000037
H	353.455	[330,379]	1.288000e-3	0.000005	0.000027
H	408.553	[379,441]	8.695000e-4	0.0000038	0.0000195
H	480.744	[441,525]	5.545000e-4	0.0000026	0.0000135
H	580.317	[525,643]	3.357000e-4	0.0000017	0.0000092
H	725.736	[643,822]	1.860000e-4	0.000001	0.000006
H	960.94	[822,1130]	8.571000e-5	0.00000053	0.00000355
H	1417.26	[1130,1800]	2.933000e-5	0.00000021	0.00000173

