# Adriani et al., PhRvL 130, 171002 (2023)
# Quantity	<Ek> [GeV]	Bin range	Flux (per Ek bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err (-)	Syst Err (+) 
He	50.1137	[39.8,63.1]	1.812000e-1	0.002	0.01863	0.01119
He	79.4355	[63.1,100]	5.573000e-2	0.00044	0.005027	0.003168
He	125.897	[100,158.5]	1.637000e-2	0.0001	0.001445	0.0009405
He	199.537	[158.5,251.2]	4.752000e-3	0.000026	0.0004007	0.0003139
He	316.232	[251.2,398.1]	1.354000e-3	0.000007	0.0001043	0.00009847
He	501.2	[398.1,631]	3.890000e-4	0.000002	0.00002553	0.00002608
He	794.355	[631,1000]	1.142000e-4	0.0000006	0.000006935	0.00000786
He	1258.93	[1000,1584.9]	3.430000e-5	0.0000002	0.000001973	0.000002588
He	1995.27	[1584.9,2511.9]	1.063000e-5	0.00000007	0.0000005814	0.0000007849
He	3162.3	[2511.9,3981.1]	3.352000e-6	0.00000003	0.0000001751	0.0000002359
He	5011.9	[3981.1,6309.6]	1.074000e-6	0.000000012	0.00000005622	0.00000007684
He	7943.3	[6309.6,10000]	3.452000e-7	0.0000000052	0.00000001815	0.00000002502
He	12589.2	[10000,15848.9]	1.128000e-7	0.0000000023	0.000000006297	0.000000008544
He	19952.6	[15848.9,25118.8]	3.714000e-8	0.00000000102	0.000000002318	0.000000002977
He	31622.7	[25118.8,39810.7]	1.195000e-8	0.00000000046	0.000000000814	0.000000001123
He	50118.7	[39810.7,63095.6]	3.449000e-9	0.000000000192	0.000000000214	0.0000000003783
He	79432.7	[63095.6,100000]	9.997000e-10	0.0000000000821	0.00000000007829	0.000000000151
He	125892	[100000,158489]	3.025000e-10	0.0000000000369	0.0000000000204	0.00000000004938
He	199526	[158489,251188]	8.707000e-11	0.00000000001695	0.000000000008888	0.00000000001689
