# Yoon et al., ApJ 839, 5 (2017)
# Quantity	<Ek/n> [GeV]	Bin range	Flux (per Ek/n bin) [# (GeV m2 s sr)-1]	Stat Err (-)	tat Err (+)	Syst Err (±)
He	316.066	[251,398]	1.380000e-4	0.000002	0.000002	0.000006555
He	501.137	[398,631]	4.350000e-5	0.0000008	0.0000008	0.00000206625
He	794.355	[631,1000]	1.370000e-5	0.0000003	0.0000003	0.00000065075
He	1256.98	[1000,1580]	4.310000e-6	0.00000012	0.00000012	0.000000204725
He	1991.43	[1580,2510]	1.300000e-6	0.00000005	0.00000005	0.00000006175
He	3160.66	[2510,3980]	3.850000e-7	0.000000022	0.000000022	0.0000000182875
He	5011.37	[3980,6310]	1.190000e-7	0.00000001	0.00000001	0.0000000056525
He	7943.55	[6310,10000]	3.600000e-8	0.0000000041	0.0000000041	0.00000000171
He	12569.8	[10000,15800]	9.400000e-9	0.0000000017	0.0000000017	0.0000000004465
He	19914.3	[15800,25100]	3.000000e-9	0.0000000007	0.0000000007	0.0000000001425
He	31606.6	[25100,39800]	8.500000e-10	0.0000000002	0.00000000023	0.000000000040375
He	50113.7	[39800,63100]	2.200000e-10	0.00000000008	0.00000000011	0.00000000001045
