# Yoon et al., ApJ 839, 5 (2017)
# Quantity	<Ek/n> [GeV]	Bin range	Flux (per Ek/n bin) [# (GeV m2 s sr)-1]	Stat Err(-)	Stat Err(+)	Syst Err
H	1256.98	[1000,1580]	4.070000e-5	0.0000005	0.0000005	0.00000140008
H	1991.43	[1580,2510]	1.210000e-5	0.0000002	0.0000002	0.00000041624
H	3160.66	[2510,3980]	3.720000e-6	0.00000007	0.00000007	0.000000127968
H	5011.37	[3980,6310]	1.140000e-6	0.00000003	0.00000003	0.000000039216
H	7943.55	[6310,10000]	3.460000e-7	0.000000002	0.000000002	0.0000000119024
H	12569.8	[10000,15800]	1.050000e-7	0.000000006	0.000000006	0.000000003612
H	19914.3	[15800,25100]	3.040000e-8	0.0000000027	0.0000000027	0.00000000104576
H	31606.6	[25100,39800]	8.200000e-9	0.0000000011	0.0000000011	0.00000000028208
H	50113.7	[39800,63100]	2.100000e-9	0.0000000004	0.0000000005	0.00000000007224
H	79435.5	[63100,100000]	6.000000e-10	0.00000000014	0.00000000016	0.00000000002064
H	125698	[100000,158000]	1.700000e-10	0.00000000007	0.00000000008	0.000000000005848
H	199143	[158000,251000]	4.400000e-11	0.000000000022	0.000000000027	0.0000000000015136
