# Alemanno et al., PhRvL 126, 201102 (2021)
# Quantity	<Ek> [GeV]	Bin range	Flux (per Ek bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err (±)
He	79	[68,93]	5.261000e-2	0.00025	0.00745
He	108	[93,125]	2.369000e-2	0.0001	0.00335
He	146	[125,171]	1.066000e-2	0.00004	0.00151
He	199	[171,232]	4.658000e-3	0.000015	0.00066
He	270	[232,316]	2.022000e-3	0.000007	0.000286
He	367	[316,430]	8.846000e-4	0.0000031	0.00013
He	499	[430,584]	3.894000e-4	0.0000014	0.0000515
He	679	[584,794]	1.727000e-4	0.0000007	0.0000229
He	923	[794,1079]	7.674000e-5	0.00000034	0.0000102
He	1254	[1079,1466]	3.422000e-5	0.00000017	0.00000454
He	1705	[1466,1993]	1.549000e-5	0.00000009	0.00000205
He	2317	[1993,2709]	7.161000e-6	0.000000048	0.00000115
He	3150	[2709,3682]	3.348000e-6	0.000000027	0.000000536
He	4281	[3682,5005]	1.548000e-6	0.000000015	0.000000248
He	5819	[5005,6803]	7.021000e-7	0.0000000084	0.000000112
He	7910	[6803,9247]	3.227000e-7	0.0000000048	0.0000000517
He	10750	[9247,12570]	1.552000e-7	0.0000000028	0.0000000249
He	14610	[12570,17080]	7.451000e-8	0.00000000158	0.0000000119
He	19860	[17080,23220]	3.504000e-8	0.00000000091	0.00000000561
He	27000	[23220,31560]	1.654000e-8	0.00000000051	0.00000000265
He	36700	[31560,42900]	7.416000e-9	0.000000000286	0.00000000119
He	49880	[42900,58320]	3.104000e-9	0.00000000016	0.000000000497
He	67800	[58320,79270]	1.299000e-9	0.000000000089	0.000000000208
