# An et al., SciA 5, eaax3793 (2019)
# Quantity	<Ek> [GeV]	Bin range	Flux (per Ek bin) [# (GeV m2 s sr)-1]	Stat Err	Syst Err
H	49.8	[39.8,63.1]	2.970000e-1	0	0.0244131
H	78.9	[63.1,100]	8.430000e-2	0	0.00688186
H	125.1	[100,158.5]	2.380000e-2	0	0.00194165
H	198.3	[158.5,251.2]	6.640000e-3	0	0.000538238
H	314.3	[251.2,398.1]	1.890000e-3	0	0.00015
H	498.1	[398.1,631]	5.390000e-4	0.000001	0.0000438292
H	789.5	[631,1000]	1.600000e-4	0	0.0000130384
H	1251	[1000,1585]	4.810000e-5	0.0000001	0.00000402244
H	1983	[1585,2512]	1.450000e-5	0.0000001	0.00000147648
H	3143	[2512,3981]	4.450000e-6	0.00000002	0.000000487545
H	4981	[3981,6310]	1.360000e-6	0.00000001	0.000000143178
H	7895	[6310,10000]	4.060000e-7	0.000000004	0.0000000442832
H	12512	[10000,15849]	1.200000e-7	0.000000002	0.0000000134164
H	19830	[15849,25119]	3.350000e-8	0.0000000007	0.00000000371214
H	31429	[25119,39811]	9.030000e-9	0.00000000026	0.00000000101119
H	49812	[39811,63096]	2.470000e-9	0.00000000011	0.000000000283019
H	78946	[63096,100000]	6.500000e-10	0.00000000004	0.0000000000812158
