# Aartsen et al., PhRvD 100, 082002 (2019)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err(±)	Syst Err(-)	Syst Err(+)
AllParticles	2818380	[2511890,3162280]	1.730000e-13	1e-16	0.0000000000000151	0.0000000000000131
AllParticles	3349650	[3162280,3548130]	1.063000e-13	1e-16	0.0000000000000097	0.0000000000000085
AllParticles	3758370	[3548130,3981070]	7.667000e-14	6e-17	0.00000000000000734	0.00000000000000621
AllParticles	4216970	[3981070,4466840]	5.508000e-14	5e-17	0.00000000000000512	0.00000000000000448
AllParticles	4731510	[4466840,5011870]	3.927000e-14	4e-17	0.0000000000000038	0.0000000000000033
AllParticles	5308840	[5011870,5623410]	2.787000e-14	3e-17	0.00000000000000264	0.00000000000000235
AllParticles	5956620	[5623410,6309570]	1.967000e-14	2e-17	0.0000000000000019	0.00000000000000168
AllParticles	6683440	[6309570,7079460]	1.390000e-14	2e-17	0.00000000000000139	0.0000000000000012
AllParticles	7498940	[7079460,7943280]	9.742000e-15	1.5e-17	9.43e-16	8.59e-16
AllParticles	8413950	[7943280,8912510]	6.797000e-15	1.2e-17	6.94e-16	6.14e-16
AllParticles	9440610	[8912510,10000000]	4.745000e-15	9e-18	4.55e-16	4.33e-16
AllParticles	10592500	[10000000,11220200]	3.288000e-15	7e-18	3.38e-16	3.05e-16
AllParticles	11885000	[11220200,12589300]	2.289000e-15	6e-18	2.25e-16	2.12e-16
AllParticles	13335200	[12589300,14125400]	1.604000e-15	4e-18	1.58e-16	1.42e-16
AllParticles	14962400	[14125400,15848900]	1.122000e-15	4e-18	1.08e-16	1.04e-16
AllParticles	16788000	[15848900,17782800]	7.893000e-16	2.8e-18	7.09e-17	7.09e-17
AllParticles	18836500	[17782800,19952600]	5.591000e-16	2.2e-18	5.47e-17	4.88e-17
AllParticles	21134900	[19952600,22387200]	3.960000e-16	1.8e-18	3.85e-17	3.68e-17
AllParticles	23713700	[22387200,25118900]	2.828000e-16	1.4e-18	2.48e-17	2.44e-17
AllParticles	26607300	[25118900,28183800]	2.011000e-16	1.1e-18	1.92e-17	1.88e-17
AllParticles	29853800	[28183800,31622800]	1.430000e-16	9e-19	1.32e-17	1.28e-17
AllParticles	33496500	[31622800,35481300]	1.031000e-16	7e-19	9.1e-18	9.3e-18
AllParticles	37583700	[35481300,39810700]	7.431000e-17	5.8e-19	6.31e-18	5.99e-18
AllParticles	42169700	[39810700,44668400]	5.350000e-17	4.5e-19	3.86e-18	5.07e-18
AllParticles	47315100	[44668400,50118700]	3.754000e-17	3.6e-19	4.23e-18	3.17e-18
AllParticles	53088400	[50118700,56234100]	2.640000e-17	2.8e-19	2.45e-18	2.58e-18
AllParticles	59566200	[56234100,63095700]	1.943000e-17	2.3e-19	1.41e-18	1.68e-18
AllParticles	66834400	[63095700,70794600]	1.369000e-17	1.8e-19	1.4e-18	1.09e-18
AllParticles	74989400	[70794600,79432800]	1.008000e-17	1.5e-19	8.6e-19	1.21e-18
AllParticles	84139500	[79432800,89125100]	6.912000e-18	1.15e-19	7.04e-19	5.29e-19
AllParticles	94406100	[89125100,100000000]	4.948000e-18	9.2e-20	3.93e-19	4.41e-19
AllParticles	112202000	[100000000,125893000]	2.934000e-18	4.6e-20	2.73e-19	2.91e-19
AllParticles	141254000	[125893000,158489000]	1.468000e-18	2.9e-20	1.79e-19	1.42e-19
AllParticles	177828000	[158489000,199526000]	6.991000e-19	1.78e-20	5.51e-20	7.25e-20
AllParticles	223872000	[199526000,251189000]	3.146000e-19	1.06e-20	3.24e-20	2.82e-20
AllParticles	281838000	[251189000,316228000]	1.602000e-19	6.8e-21	1.55e-20	1.44e-20
AllParticles	354813000	[316228000,398107000]	6.468000e-20	3.82e-21	7.98e-21	6.37e-21
AllParticles	446684000	[398107000,501187000]	3.169000e-20	2.39e-21	2.8e-21	3.9e-21
AllParticles	562341000	[501187000,630957000]	1.350000e-20	1.39e-21	3.55e-21	4.43e-21
AllParticles	707946000	[630957000,794328000]	6.091000e-21	8.37e-22	8.42e-22	6.21e-22
AllParticles	891251000	[794328000,1000000000]	2.492000e-21	4.8e-22	4.4e-22	5.14e-22
AllParticles	1122020000	[1000000000,1258930000]	8.199000e-22	2.472e-22	2.228e-22	4.278e-22
