# Antoni et al., APh 24, 1 (2005)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err (±)
AllParticles	1778280	-	6.333760e-13	0.0000000000000211306	0.000000000000131
AllParticles	2238720	-	3.449060e-13	0.0000000000000136388	0.00000000000007
AllParticles	2818380	-	1.797830e-13	0.00000000000000885963	0.000000000000038
AllParticles	3548130	-	9.990400e-14	0.00000000000000498572	0.000000000000022
AllParticles	4466840	-	4.912390e-14	0.00000000000000269253	0.0000000000000102
AllParticles	5623410	-	2.622910e-14	0.00000000000000143632	0.0000000000000055
AllParticles	7079460	-	1.355100e-14	9.52944e-16	0.0000000000000028
AllParticles	8912510	-	6.256010e-15	4.61783e-16	0.0000000000000013
AllParticles	11220200	-	3.634650e-15	2.76699e-16	7.5e-16
AllParticles	14125400	-	1.482890e-15	1.43634e-16	3.1e-16
AllParticles	17782800	-	7.567540e-16	7.83897e-17	1.6e-17
AllParticles	22387200	-	4.046230e-16	5.08089e-17	8.7e-17
AllParticles	28183800	-	1.865770e-16	2.30335e-17	4.4e-17
AllParticles	35481300	-	8.810320e-17	1.39298e-17	2.38e-17
AllParticles	44668400	-	3.648690e-17	6.61138e-18	1.18e-17
AllParticles	56234100	-	2.287800e-17	4.45171e-18	8.9e-18
AllParticles	70794600	-	9.294940e-18	2.715e-18	5.38e-18
AllParticles	89125100	-	5.810610e-18	2.06824e-18	4.31e-18
