# Grebenyuk et al., AdSpR 64, 2546 (2019)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err(±)	Syst Err(±)
H	3160	-	3.620000e-6	0.0000000199	0.000000407
H	5010	-	1.110000e-6	0.00000000816	0.000000126
H	7940	-	3.510000e-7	0.00000000355	0.0000000401
H	12600	-	1.090000e-7	0.0000000014	0.0000000129
H	20000	-	3.460000e-8	0.000000000621	0.00000000425
H	31600	-	1.050000e-8	0.000000000223	0.00000000144
H	50100	-	3.150000e-9	0.000000000091	0.0000000005
H	79400	-	9.130000e-10	0.0000000000322	0.000000000182
H	126000	-	2.630000e-10	0.0000000000135	0.0000000000758
H	200000	-	7.480000e-11	0.00000000000478	0.0000000000262
