# Adriani et al., Science 332, 69 (2011)
# Quantity	<R> [GV]	Bin range	Flux (per R bin) [# (GV m2 s sr)-1]	Stat Err (±)	Syst Err (±)
He	1.01	[0.99,1.04]	4.240000e+1	0.4	2
He	1.06	[1.04,1.09]	5.320000e+1	0.4	2
He	1.11	[1.09,1.14]	6.340000e+1	0.4	2
He	1.16	[1.14,1.19]	7.400000e+1	0.4	3
He	1.22	[1.19,1.25]	8.140000e+1	0.4	3
He	1.27	[1.25,1.31]	8.840000e+1	0.4	3
He	1.33	[1.31,1.37]	9.270000e+1	0.4	3
He	1.4	[1.37,1.43]	9.600000e+1	0.4	4
He	1.46	[1.43,1.5]	9.710000e+1	0.4	4
He	1.53	[1.5,1.57]	9.730000e+1	0.4	4
He	1.6	[1.57,1.64]	9.810000e+1	0.4	4
He	1.68	[1.64,1.72]	9.690000e+1	0.4	4
He	1.76	[1.72,1.8]	9.500000e+1	0.4	4
He	1.84	[1.8,1.89]	9.250000e+1	0.3	3
He	1.93	[1.89,1.98]	9.060000e+1	0.3	3
He	2.02	[1.98,2.07]	8.850000e+1	0.3	3
He	2.11	[2.07,2.17]	8.500000e+1	0.3	3
He	2.21	[2.17,2.27]	8.080000e+1	0.3	3
He	2.32	[2.27,2.38]	7.700000e+1	0.3	3
He	2.43	[2.38,2.49]	7.340000e+1	0.2	3
He	2.54	[2.49,2.61]	6.990000e+1	0.2	3
He	2.66	[2.61,2.73]	6.540000e+1	0.2	3
He	2.79	[2.73,2.86]	6.170000e+1	0.2	2
He	2.92	[2.86,2.99]	5.700000e+1	0.2	2
He	3.06	[2.99,3.13]	5.340000e+1	0.2	2
He	3.2	[3.13,3.28]	4.980000e+1	0.2	2
He	3.35	[3.28,3.44]	4.600000e+1	0.2	2
He	3.51	[3.44,3.6]	4.240000e+1	0.1	2
He	3.67	[3.6,3.77]	3.880000e+1	0.1	2
He	3.85	[3.77,3.95]	3.610000e+1	0.1	1
He	4.03	[3.95,4.13]	3.290000e+1	0.1	1
He	4.22	[4.13,4.33]	3.020000e+1	0.1	1
He	4.42	[4.33,4.53]	2.760000e+1	0.1	1
He	4.63	[4.53,4.74]	2.513000e+1	0.09	0.9
He	4.85	[4.74,4.97]	2.289000e+1	0.08	0.9
He	5.07	[4.97,5.2]	2.073000e+1	0.08	0.8
He	5.44	[5.2,5.7]	1.808000e+1	0.05	0.7
He	5.96	[5.7,6.25]	1.469000e+1	0.04	0.6
He	6.54	[6.25,6.86]	1.203000e+1	0.03	0.5
He	7.17	[6.86,7.52]	9.710000e+0	0.03	0.4
He	7.86	[7.52,8.24]	7.870000e+0	0.03	0.3
He	8.62	[8.24,9.04]	6.360000e+0	0.02	0.2
He	9.45	[9.04,9.91]	5.050000e+0	0.02	0.2
He	10.37	[9.91,10.87]	4.030000e+0	0.02	0.2
He	11.37	[10.87,11.91]	3.220000e+0	0.01	0.1
He	12.46	[11.91,13.06]	2.590000e+0	0.01	0.1
He	13.67	[13.06,14.32]	2.031000e+0	0.008	0.08
He	14.99	[14.32,15.71]	1.619000e+0	0.007	0.06
He	16.43	[15.71,17.22]	1.292000e+0	0.006	0.05
He	18.02	[17.22,18.88]	1.003000e+0	0.005	0.04
He	19.76	[18.88,20.71]	7.900000e-1	0.004	0.03
He	21.67	[20.71,22.7]	6.330000e-1	0.003	0.02
He	23.76	[22.7,24.89]	4.860000e-1	0.003	0.02
He	26.05	[24.89,27.3]	3.800000e-1	0.002	0.01
He	28.56	[27.3,29.93]	3.040000e-1	0.002	0.01
He	31.32	[29.93,32.82]	2.330000e-1	0.002	0.009
He	34.34	[32.82,35.98]	1.840000e-1	0.001	0.007
He	37.66	[35.98,39.45]	1.430000e-1	0.001	0.005
He	41.29	[39.45,43.26]	1.120000e-1	0.001	0.004
He	45.28	[43.26,47.43]	8.960000e-2	0.0009	0.003
He	49.64	[47.43,52.01]	6.770000e-2	0.0007	0.003
He	54.44	[52.01,57.03]	5.190000e-2	0.0006	0.002
He	59.69	[57.03,62.53]	4.070000e-2	0.0005	0.002
He	65.45	[62.53,68.56]	3.180000e-2	0.0004	0.001
He	71.76	[68.56,75.18]	2.490000e-2	0.0004	0.001
He	78.69	[75.18,82.43]	1.900000e-2	0.0003	0.0007
He	86.28	[82.43,90.38]	1.470000e-2	0.0003	0.0006
He	94.6	[90.38,99.1]	1.210000e-2	0.0002	0.0005
He	106.11	[99.1,113.79]	8.600000e-3	0.0002	0.0003
He	121.83	[113.79,130.65]	5.800000e-3	0.0001	0.0002
He	139.88	[130.65,150]	3.980000e-3	0.00009	0.0002
He	160.61	[150,172.22]	2.750000e-3	0.00007	0.0001
He	184.4	[172.22,197.74]	1.860000e-3	0.00005	0.00008
He	211.72	[197.74,227.03]	1.210000e-3	0.00004	0.00005
He	243.09	[227.03,260.67]	7.800000e-4	0.00003	0.00003
He	279.11	[260.67,299.29]	5.600000e-4	0.00002	0.00003
He	320.46	[299.29,343.63]	4.100000e-4	0.00002	0.00002
He	367.94	[343.63,394.54]	2.800000e-4	0.00002	0.00001
He	422.46	[394.54,452.99]	2.000000e-4	0.00001	0.00001
He	485.05	[452.99,520.11]	1.400000e-4	0.00001	0.000008
He	582.45	[520.11,654.77]	8.400000e-5	0.000006	0.000006
He	749.71	[654.77,863.16]	5.100000e-5	0.000005	0.000005
He	1010.33	[863.16,1191.49]	3.000000e-5	0.000007	0.000005
