# Adriani et al., Science 332, 69 (2011)
# Quantity	<R> [GV]	Bin range	Flux (per R bin) [# (GV m2 s sr)-1]	Stat Err	Syst Err
H	1.01	[0.99,1.04]	1.161000e+3	2	40
H	1.06	[1.04,1.09]	1.161000e+3	2	40
H	1.11	[1.09,1.14]	1.167000e+3	2	40
H	1.16	[1.14,1.19]	1.156000e+3	2	40
H	1.22	[1.19,1.25]	1.144000e+3	2	40
H	1.28	[1.25,1.31]	1.130000e+3	2	40
H	1.34	[1.31,1.37]	1.104000e+3	2	40
H	1.4	[1.37,1.43]	1.074000e+3	2	40
H	1.47	[1.43,1.5]	1.038000e+3	2	40
H	1.54	[1.5,1.57]	9.990000e+2	1	40
H	1.61	[1.57,1.64]	9.610000e+2	1	40
H	1.68	[1.64,1.72]	9.190000e+2	1	40
H	1.76	[1.72,1.8]	8.790000e+2	1	30
H	1.85	[1.8,1.89]	8.320000e+2	1	30
H	1.93	[1.89,1.98]	7.830000e+2	1	30
H	2.02	[1.98,2.07]	7.380000e+2	1	30
H	2.12	[2.07,2.17]	6.929000e+2	0.9	30
H	2.22	[2.17,2.27]	6.472000e+2	0.9	20
H	2.32	[2.27,2.38]	6.051000e+2	0.8	20
H	2.43	[2.38,2.49]	5.615000e+2	0.8	20
H	2.55	[2.49,2.61]	5.213000e+2	0.7	20
H	2.67	[2.61,2.73]	4.811000e+2	0.7	20
H	2.79	[2.73,2.86]	4.474000e+2	0.6	20
H	2.92	[2.86,2.99]	4.135000e+2	0.6	20
H	3.06	[2.99,3.13]	3.791000e+2	0.5	10
H	3.21	[3.13,3.28]	3.478000e+2	0.5	10
H	3.36	[3.28,3.44]	3.193000e+2	0.5	10
H	3.52	[3.44,3.6]	2.929000e+2	0.4	10
H	3.68	[3.6,3.77]	2.675000e+2	0.4	10
H	3.86	[3.77,3.95]	2.431000e+2	0.4	9
H	4.04	[3.95,4.13]	2.211000e+2	0.3	8
H	4.23	[4.13,4.33]	2.009000e+2	0.3	8
H	4.43	[4.33,4.53]	1.832000e+2	0.3	7
H	4.74	[4.53,4.97]	1.577000e+2	0.2	6
H	5.2	[4.97,5.45]	1.281000e+2	0.2	5
H	5.7	[5.45,5.97]	1.039000e+2	0.1	4
H	6.25	[5.97,6.55]	8.390000e+1	0.1	3
H	6.86	[6.55,7.18]	6.735000e+1	0.09	3
H	7.52	[7.18,7.87]	5.406000e+1	0.08	2
H	8.24	[7.87,8.63]	4.305000e+1	0.07	2
H	9.04	[8.63,9.46]	3.422000e+1	0.06	1
H	9.91	[9.46,10.38]	2.716000e+1	0.05	1
H	10.86	[10.38,11.38]	2.153000e+1	0.04	0.8
H	11.91	[11.38,12.48]	1.695000e+1	0.03	0.6
H	13.06	[12.48,13.68]	1.332000e+1	0.03	0.5
H	14.32	[13.68,15]	1.048000e+1	0.02	0.4
H	15.7	[15,16.45]	8.260000e+0	0.02	0.3
H	17.22	[16.45,18.03]	6.460000e+0	0.02	0.2
H	18.88	[18.03,19.77]	5.000000e+0	0.01	0.2
H	20.7	[19.77,21.68]	3.900000e+0	0.01	0.2
H	22.7	[21.68,23.77]	3.047000e+0	0.009	0.1
H	24.89	[23.77,26.07]	2.365000e+0	0.007	0.09
H	27.29	[26.07,28.58]	1.827000e+0	0.006	0.07
H	29.92	[28.58,31.34]	1.419000e+0	0.005	0.05
H	32.81	[31.34,34.36]	1.107000e+0	0.004	0.04
H	35.97	[34.36,37.68]	8.490000e-1	0.004	0.03
H	39.44	[37.68,41.31]	6.530000e-1	0.003	0.03
H	43.25	[41.31,45.3]	5.090000e-1	0.003	0.02
H	47.42	[45.3,49.67]	3.970000e-1	0.002	0.02
H	52	[49.67,54.46]	3.010000e-1	0.002	0.01
H	57.01	[54.46,59.72]	2.330000e-1	0.002	0.009
H	62.51	[59.72,65.48]	1.780000e-1	0.001	0.007
H	68.54	[65.48,71.79]	1.410000e-1	0.001	0.005
H	75.16	[71.79,78.72]	1.103000e-1	0.0009	0.004
H	82.41	[78.72,86.32]	8.310000e-2	0.0008	0.003
H	90.36	[86.32,94.64]	6.330000e-2	0.0006	0.003
H	101.34	[94.64,108.67]	4.590000e-2	0.0004	0.002
H	116.36	[108.67,124.77]	3.120000e-2	0.0003	0.001
H	133.6	[124.77,143.25]	2.090000e-2	0.0003	0.0008
H	153.39	[143.25,164.47]	1.420000e-2	0.0002	0.0006
H	176.12	[164.47,188.84]	9.500000e-3	0.0002	0.0004
H	202.21	[188.84,216.82]	6.400000e-3	0.0001	0.0003
H	232.16	[216.82,248.94]	4.170000e-3	0.00008	0.0002
H	266.56	[248.94,285.82]	2.970000e-3	0.00007	0.0001
H	306.05	[285.82,328.16]	2.020000e-3	0.00005	0.00009
H	359.39	[328.16,394.54]	1.320000e-3	0.00003	0.00006
H	451.75	[394.54,520.11]	6.800000e-4	0.00002	0.00004
H	582.46	[520.11,654.77]	3.800000e-4	0.00002	0.00003
H	749.72	[654.77,863.16]	1.900000e-4	0.00001	0.00002
H	1010.34	[863.16,1191.49]	8.100000e-5	0.000007	0.00001
