# Abreu et al., EPJC 81, 966 (2021)
#Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err(-)	Stat Err(+)	Syst Err(-)	Syst Err(+)
AllParticles	112202000	[100000000,125893000]	2.081270e-18	4.75321e-21	4.75321e-21	5.70386e-19	6.33762e-19
AllParticles	141254000	[125893000,158489000]	1.046340e-18	3.16881e-21	3.16881e-21	2.85193e-19	3.16881e-19
AllParticles	177828000	[158489000,199526000]	5.149310e-19	1.90129e-21	1.90129e-21	1.5844e-19	1.5844e-19
AllParticles	223872000	[199526000,251189000]	2.490680e-19	1.20415e-21	1.20415e-21	7.28826e-20	7.92202e-20
AllParticles	281838000	[251189000,316228000]	1.184500e-19	7.28826e-22	7.28826e-22	3.48569e-20	3.80257e-20
AllParticles	354813000	[316228000,398107000]	5.624640e-20	4.43633e-22	4.43633e-22	1.5844e-20	1.90129e-20
AllParticles	446684000	[398107000,501187000]	2.674470e-20	2.85193e-22	2.85193e-22	7.92202e-21	9.18955e-21
AllParticles	562341000	[501187000,630957000]	1.251680e-20	1.5844e-22	1.5844e-22	3.48569e-21	4.75321e-21
AllParticles	707946000	[630957000,794328000]	5.893980e-21	9.50643e-23	9.50643e-23	1.5844e-21	2.21817e-21
AllParticles	891251000	[794328000,1000000000]	2.823410e-21	6.33762e-23	6.33762e-23	8.2389e-22	1.14077e-21
AllParticles	1122020000	[1000000000,1258930000]	1.311890e-21	3.80257e-23	3.80257e-23	3.80257e-22	5.70386e-22
AllParticles	1412540000	[1258930000,1584890000]	5.862300e-22	2.21817e-23	2.21817e-23	1.5844e-22	2.85193e-22
AllParticles	1778280000	[1584890000,1995260000]	2.645960e-22	1.42596e-23	1.36259e-23	7.60514e-23	1.29921e-22
AllParticles	2238720000	[1995260000,2511890000]	1.349910e-22	8.87266e-24	8.55578e-24	3.80257e-23	6.97138e-23
AllParticles	2818380000	[2511890000,3162280000]	6.397820e-23	5.38697e-24	5.38697e-25	1.90129e-23	3.48569e-23
AllParticles	3548130000	[3162280000,3981070000]	2.851930e-23	3.16881e-24	3.16881e-24	7.92202e-24	1.64778e-23
AllParticles	4466840000	[3981070000,5011870000]	1.299210e-23	1.90129e-24	2.21817e-24	3.80257e-24	7.60514e-24
AllParticles	5623410000	[5011870000,6309570000]	7.288260e-24	1.26752e-24	1.26752e-24	1.90129e-24	4.11945e-24
AllParticles	7079460000	[6309570000,9440610000]	5.386970e-24	9.50643e-25	9.50643e-25	1.5844e-24	2.85193e-24
AllParticles	12589300000	[9440610000,17782800000]	8.872660e-25	1.5844e-25	1.5844e-25	2.53505e-25	5.07009e-25
AllParticles	25118900000	[17782800000,35481300000]	1.806220e-25	7.60514e-26	7.60514e-26	5.07009e-26	1.01402e-25
