# Prosin et al., NIMPA 756, 94 (2014)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err (±)
AllParticles	891251	-	4.370180e-12	0.0000000000000200653	0.000000000000437018
AllParticles	1122020	-	2.379580e-12	0.0000000000000132032	0.000000000000237958
AllParticles	1412540	-	1.254580e-12	0.00000000000000854013	0.000000000000125458
AllParticles	1778280	-	6.768610e-13	0.00000000000000559256	0.0000000000000676861
AllParticles	2238720	-	3.535890e-13	0.00000000000000360169	0.0000000000000353589
AllParticles	2818380	-	1.912050e-13	0.00000000000000236254	0.0000000000000191205
AllParticles	3548130	-	9.517000e-14	0.00000000000000148486	0.000000000000009517
AllParticles	4466840	-	4.880900e-14	9.4815e-16	0.0000000000000048809
AllParticles	5623410	-	2.555640e-14	6.11439e-16	0.00000000000000255564
AllParticles	7079460	-	1.188870e-14	4.53998e-17	0.00000000000000118887
AllParticles	8912510	-	5.654230e-15	2.79045e-17	5.65422e-16
AllParticles	11219900	-	2.651650e-15	1.70317e-17	2.65165e-16
AllParticles	14125400	-	1.252100e-15	1.04305e-17	1.2521e-16
AllParticles	17782800	-	6.122060e-16	6.50034e-18	6.12206e-17
AllParticles	22387200	-	3.059200e-16	4.09535e-18	3.0592e-17
AllParticles	28183800	-	1.583870e-16	2.62632e-18	1.58387e-17
AllParticles	35480500	-	7.711040e-17	1.63327e-18	7.71103e-18
AllParticles	44668400	-	3.901770e-17	1.03542e-18	3.90177e-18
AllParticles	56234100	-	1.951240e-17	6.52594e-19	1.95125e-18
AllParticles	70794600	-	1.045420e-17	4.25729e-19	1.04542e-18
AllParticles	89125100	-	5.219340e-18	2.68099e-19	5.21934e-19
AllParticles	141254000	-	1.292000e-18	6.06368e-20	1.292e-19
AllParticles	281838000	-	1.583190e-19	1.5027e-20	1.58319e-20
AllParticles	562341000	-	1.572650e-20	3.3529e-21	1.57265e-21
AllParticles	1121990000	-	1.433170e-21	7.16587e-22	1.43317e-22
