# Amenomori et al., ApJ 678, 1165 (2008)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err
O-Fe-group	120000	-	9.300000e-10	0.0000000000002	-
O-Fe-group	141000	-	5.008000e-10	0.0000000000001	-
O-Fe-group	178000	-	2.732000e-10	0.0000000000001	-
O-Fe-group	224000	-	1.470000e-10	0.0000000000001	-
O-Fe-group	282000	-	7.934000e-11	0.00000000000004	-
O-Fe-group	355000	-	4.296000e-11	0.00000000000003	-
O-Fe-group	447000	-	2.323000e-11	0.00000000000002	-
O-Fe-group	562000	-	1.262000e-11	0.00000000000001	-
O-Fe-group	708000	-	6.834000e-12	0.000000000000008	-
O-Fe-group	891000	-	3.695000e-12	0.000000000000005	-
O-Fe-group	1120000	-	2.001000e-12	0.000000000000003	-
O-Fe-group	1410000	-	1.092000e-12	0.000000000000002	-
O-Fe-group	1780000	-	5.947000e-13	0.0000000000000014	-
O-Fe-group	2240000	-	3.228000e-13	9e-16	-
O-Fe-group	2820000	-	1.738000e-13	6e-16	-
O-Fe-group	3550000	-	9.301000e-14	4e-16	-
O-Fe-group	4470000	-	4.692000e-14	2.5e-16	-
O-Fe-group	5620000	-	2.384000e-14	1.6e-16	-
O-Fe-group	7080000	-	1.159000e-14	1e-16	-
O-Fe-group	8910000	-	5.571000e-15	6.1e-17	-
O-Fe-group	11200000	-	2.631000e-15	3.7e-17	-
O-Fe-group	14100000	-	1.265000e-15	2.3e-17	-
O-Fe-group	17800000	-	6.631000e-16	1.49e-17	-
O-Fe-group	22400000	-	3.177000e-16	9.2e-18	-
O-Fe-group	28200000	-	1.651000e-16	5.9e-18	-
O-Fe-group	35500000	-	8.101000e-17	3.7e-18	-
O-Fe-group	44700000	-	3.614000e-17	2.2e-18	-
O-Fe-group	56200000	-	2.146000e-17	1.51e-18	-
O-Fe-group	70800000	-	9.764000e-18	9.08e-19	-
O-Fe-group	89100000	-	4.156000e-18	5.28e-19	-
O-Fe-group	112000000	-	2.694000e-18	3.79e-19	-
O-Fe-group	141000000	-	1.242000e-18	2.29e-19	-
O-Fe-group	178000000	-	5.310000e-19	1.337e-19	-
