# Amenomori et al., ApJ 678, 1165 (2008)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err
H-He-group	112000	-	7.454000e-10	0.0000000000002	-
H-He-group	141000	-	4.013000e-10	0.0000000000001	-
H-He-group	178000	-	2.155000e-10	0.0000000000001	-
H-He-group	224000	-	1.177000e-10	0.0000000000001	-
H-He-group	282000	-	6.437000e-11	0.00000000000004	-
H-He-group	355000	-	3.522000e-11	0.00000000000002	-
H-He-group	447000	-	1.919000e-11	0.00000000000002	-
H-He-group	562000	-	1.045000e-11	0.00000000000001	-
H-He-group	708000	-	5.678000e-12	0.000000000000007	-
H-He-group	891000	-	3.071000e-12	0.000000000000005	-
H-He-group	1120000	-	1.671000e-12	0.000000000000003	-
H-He-group	1410000	-	9.168000e-13	0.000000000000002	-
H-He-group	1780000	-	4.993000e-13	0.0000000000000013	-
H-He-group	2240000	-	2.705000e-13	9e-16	-
H-He-group	2820000	-	1.470000e-13	6e-16	-
H-He-group	3550000	-	7.683000e-14	3.6e-16	-
H-He-group	4470000	-	3.902000e-14	2.3e-16	-
H-He-group	5620000	-	1.965000e-14	1.4e-16	-
H-He-group	7080000	-	9.510000e-15	9e-17	-
H-He-group	8910000	-	4.529000e-15	6.5e-17	-
H-He-group	11200000	-	2.202000e-15	3.4e-17	-
H-He-group	14100000	-	1.103000e-15	2.2e-17	-
H-He-group	17800000	-	5.818000e-16	1.4e-17	-
H-He-group	22400000	-	2.743000e-16	8.6e-18	-
H-He-group	28200000	-	1.454000e-16	5.6e-18	-
H-He-group	35500000	-	7.048000e-17	3.45e-18	-
H-He-group	44700000	-	3.120000e-17	2.04e-18	-
H-He-group	56200000	-	2.013000e-17	1.46e-18	-
H-He-group	70800000	-	8.343000e-18	8.4e-19	-
H-He-group	89100000	-	4.654000e-18	5.59e-19	-
H-He-group	112000000	-	2.585000e-18	3.71e-19	-
H-He-group	141000000	-	1.286000e-18	2.33e-19	-
H-He-group	178000000	-	5.647000e-19	1.379e-19	-
